EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
0,0.0025964000378735363,1014,
1,0.003403100010473281,1014,
2,0.004552500031422824,1014,
3,0.0060618999996222556,1014,
4,0.007601900026202202,1014,
5,0.009758400032296777,1014,
6,0.011322900012601167,977,
7,0.01241010002559051,76,
8,0.013363100006245077,6,
9,0.01453020004555583,6,
10,0.015439500042703003,5,
11,0.016835800022818148,5,
12,0.017896700010169297,6,
13,0.019195000000763685,6,
14,0.020120600005611777,6,
15,0.021692000038456172,399,
16,0.022636400011833757,1013,
17,0.02414150000549853,1014,
18,0.025698200042825192,1014,
19,0.02684070001123473,1014,
20,0.028592400019988418,1014,
21,0.029492200003005564,1014,
22,0.03132220002589747,1010,
23,0.03247430000919849,160,
24,0.033892600040417165,6,
25,0.034683800011407584,5,
26,0.036258600011933595,5,
27,0.03749080002307892,5,
28,0.038993499998468906,5,
29,0.040115100040566176,6,
30,0.04172650002874434,6,
31,0.04370110004674643,546,
32,0.045262100000400096,1014,
33,0.046783900004811585,1014,
34,0.04908840003190562,1014,
35,0.0502826000447385,1014,
36,0.052070500038098544,1014,
37,0.05370720004430041,1014,
38,0.05527890002122149,1001,
39,0.0561159000499174,128,
40,0.05717330001061782,6,
41,0.05860150000080466,5,
42,0.059501900046598166,5,
43,0.06061500002397224,5,
44,0.06218010000884533,6,
45,0.06353380001382902,6,
46,0.06493029999546707,6,
47,0.06584850000217557,382,
48,0.06674020003993064,1014,
49,0.06797830003779382,1015,
50,0.06882860005134717,1014,
51,0.06993330002296716,1014,
52,0.07078599999658763,1014,
53,0.07151320000411943,1014,
54,0.07298430002992973,1012,
55,0.07400860002962872,243,
56,0.07529800001066178,6,
57,0.07627479999791831,5,
58,0.07743230002233759,6,
59,0.07844549999572337,5,
60,0.08027540001785383,6,
61,0.08188490004977211,6,
62,0.08325000002514571,6,
63,0.08537270000670105,327,
64,0.08745570003520697,1014,
65,0.0889655000064522,1014,
66,0.09084320004330948,1014,
67,0.09259420004673302,1014,
68,0.09387919999426231,1014,
69,0.09629529999801889,1014,
70,0.09761300001991913,1013,
71,0.0990756000392139,261,
72,0.1002666000276804,6,
73,0.10166750004282221,5,
74,0.1027786000049673,5,
75,0.10350220004329458,6,
76,0.10544350004056469,5,
77,0.10690260003320873,6,
78,0.10774230002425611,6,
79,0.10899350000545382,442,
80,0.1104114000336267,1014,
81,0.11245509999571368,1014,
82,0.11389660002896562,1014,
83,0.11507530004018918,1014,
84,0.11672770004952326,1014,
85,0.11897390004014596,1014,
86,0.1197878000093624,1012,
87,0.1210284000262618,184,
88,0.1227915000054054,6,
89,0.12412950000725687,5,
90,0.12540550000267103,5,
91,0.1261481000110507,5,
92,0.12764580000657588,5,
93,0.128368700039573,6,
94,0.12932790000922978,6,
95,0.12978920002933592,411,
96,0.13044040004024282,1014,
97,0.13146649999544024,1014,
98,0.13273360003950074,1014,
99,0.13409400003729388,1014,
100,0.135158599994611,1014,
101,0.1355938000488095,1013,
102,0.13674290000926703,1013,
103,0.13780980004230514,245,
104,0.13929730001837015,6,
105,0.1398922000080347,5,
106,0.14053480001166463,5,
107,0.14144860004307702,5,
108,0.14253340003779158,6,
109,0.143765400047414,6,
110,0.14497330004815012,6,
111,0.14555890002520755,290,
112,0.14636210002936423,1014,
113,0.14726050000172108,1014,
114,0.148667800007388,1014,
115,0.14945670001907274,1014,
116,0.15059530001599342,1014,
117,0.15156310005113482,1014,
118,0.15257080004084855,1011,
119,0.15341110003646463,203,
120,0.15422560001024976,6,
121,0.15506760001881048,6,
122,0.156131700030528,5,
123,0.156965600035619,5,
124,0.15774750005220994,5,
125,0.1587510000099428,6,
126,0.15966000000480562,6,
127,0.16061820002505556,263,
128,0.16157670004758984,1014,
129,0.16256990004330873,1014,
130,0.16348139999900013,1014,
131,0.1643538000062108,1014,
132,0.16525090002687648,1014,
133,0.1661250000470318,1014,
134,0.16700380004476756,1013,
135,0.16786290000891313,238,
136,0.16867939999792725,6,
137,0.1694990000105463,6,
138,0.17035810003289953,5,
139,0.17138640000484884,5,
140,0.17243140004575253,5,
141,0.1740344000281766,6,
142,0.17630600003758445,6,
143,0.17703100002836436,230,
144,0.17808470001909882,1014,
145,0.17921410000417382,1014,
146,0.180253200000152,1015,
147,0.18141570000443608,1015,
148,0.18228090001503006,1014,
149,0.1832933000405319,1014,
150,0.18449930002680048,1013,
151,0.18571230000816286,316,
152,0.18684080004459247,6,
153,0.18800070002907887,5,
154,0.19008620001841336,5,
155,0.1927758000092581,5,
156,0.19405220000771806,6,
157,0.1952191000455059,6,
158,0.19627780001610518,6,
159,0.19734140002401546,172,
160,0.19848020002245903,1013,
161,0.19964540004730225,1014,
162,0.20059760002186522,1014,
163,0.20141150004928932,1014,
164,0.20245350000914186,1014,
165,0.2036400000215508,1014,
166,0.20485680003184825,1013,
167,0.20665290002943948,312,
168,0.20735300000524148,6,
169,0.20854510000208393,5,
170,0.21005809999769554,5,
171,0.2112273999955505,5,
172,0.21222570003010333,6,
173,0.21333690005121753,6,
174,0.21446640003705397,6,
175,0.2157530999975279,221,
176,0.2168152999947779,1014,
177,0.21780330000910908,1014,
178,0.21874690003460273,1014,
179,0.21971450001001358,1014,
180,0.22070590005023405,1014,
181,0.22206300002289936,1014,
182,0.22395070001948625,1013,
183,0.22568570001749322,315,
184,0.22693140001501888,6,
185,0.22814810002455488,5,
186,0.22874770005000755,5,
187,0.22984919999726117,5,
188,0.23097360000247136,5,
189,0.2320588000002317,6,
190,0.23302470002090558,6,
191,0.23417530005099252,268,
192,0.2351522000390105,1014,
193,0.2364118000259623,1014,
194,0.23738720000255853,1015,
195,0.23865810001734644,1014,
196,0.24071400001412258,1014,
197,0.24153810000279918,1014,
198,0.24270719999913126,1013,
199,0.24380370002472773,379,
200,0.24487860000226647,6,
201,0.24606100004166365,5,
202,0.24711779999779537,5,
203,0.24809520004782826,5,
204,0.24920530000235885,6,
205,0.2502342000370845,6,
206,0.2512819000403397,6,
207,0.2522111000143923,209,
208,0.25358260003849864,1014,
209,0.25473010004498065,1014,
