EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
0,0.007278599950950593,188,
1,0.011345299950335175,3,
2,0.01358039997285232,0,
3,0.015161499963141978,0,
4,0.017046699998900294,0,
5,0.01899589999811724,0,
6,0.020905099983792752,0,
7,0.022670999984256923,202,
8,0.02519929996924475,1019,
9,0.027336800005286932,1019,
10,0.02957569999853149,1022,
11,0.031240699987392873,1021,
12,0.0329747999785468,1021,
13,0.03534339996986091,1022,
14,0.03721779998159036,1020,
15,0.03923829999985173,1017,
16,0.04083879996323958,4,
17,0.04227779997745529,3,
18,0.044099099992308766,0,
19,0.0455033999751322,0,
20,0.046973599994089454,0,
21,0.04840649996185675,0,
22,0.05031629995210096,0,
23,0.052107199968304485,704,
24,0.05413619999308139,1018,
25,0.05610659997910261,1019,
26,0.05848869995679706,1022,
27,0.060389299993403256,1022,
28,0.061894699989352375,1022,
29,0.06384769995929673,1021,
30,0.06563859997550026,1019,
31,0.0670854999916628,1017,
32,0.06874759995844215,15,
33,0.07048369996482506,0,
34,0.07234590000007302,0,
35,0.07441439997637644,0,
36,0.076015800004825,0,
37,0.07854339998448268,0,
38,0.08005779999075457,0,
39,0.08182429999578744,1018,
40,0.08387009997386485,1019,
41,0.08539669995661825,1019,
42,0.08723409997764975,1022,
43,0.08888100000331178,1021,
44,0.09077139996225014,1022,
45,0.09268959995824844,1021,
46,0.09523479995550588,3,
47,0.0974968999507837,1017,
48,0.0992969999788329,4,
49,0.10133079998195171,4,
50,0.10349139996105805,0,
51,0.10513999999966472,0,
52,0.10702850000234321,0,
53,0.10908339999150485,0,
54,0.1117759000044316,0,
55,0.11363479995634407,903,
56,0.11534560000291094,1018,
57,0.1171320999856107,1019,
58,0.1192464999621734,1022,
59,0.12171089998446405,1022,
60,0.12393599998904392,1021,
61,0.12588599999435246,1021,
62,0.1285657999687828,973,
63,0.13056949997553602,1018,
64,0.132358499977272,4,
65,0.1342268000007607,4,
66,0.13575059996219352,0,
67,0.13765439996495843,0,
68,0.13961670000571758,0,
69,0.14125489996513352,0,
70,0.14433109998935834,0,
71,0.14628299995092675,987,
72,0.1481826999806799,1019,
73,0.15005459997337312,1019,
74,0.15204889996675774,1021,
75,0.15393809997476637,1021,
76,0.1554715999518521,1021,
77,0.15769789996556938,1021,
78,0.1596935999696143,1019,
79,0.1614308999851346,1017,
80,0.1636419999995269,4,
81,0.165062099986244,6,
82,0.1671656999969855,0,
83,0.16891049995319918,0,
84,0.170597699994687,0,
85,0.1722781999851577,0,
86,0.17437709996011108,0,
87,0.17651049996493384,1018,
88,0.1781401999760419,1019,
89,0.1798300999798812,1019,
90,0.1818887999979779,1022,
91,0.18330669996794313,1022,
92,0.18530779995489866,1022,
93,0.18752579996362329,1021,
94,0.1894497000030242,4,
95,0.19163419998949394,1017,
96,0.194263499986846,2,
97,0.19597739999881014,0,
98,0.1978990999632515,0,
99,0.1998399999574758,0,
100,0.20145190000766888,0,
101,0.20320009998977184,0,
102,0.20508849999168888,0,
103,0.207101599953603,761,
104,0.2091937999939546,1018,
105,0.2122399999643676,1019,
106,0.2142640999518335,1022,
107,0.2161177999805659,1022,
108,0.21875,1022,
109,0.22064119996502995,1021,
110,0.22255049995146692,1018,
111,0.22459080000407994,1017,
112,0.22652679996099323,4,
113,0.22912319999886677,4,
114,0.2308616999653168,0,
115,0.23266189999412745,0,
116,0.2350707000005059,0,
117,0.23711289995117113,0,
118,0.23918390000471845,0,
119,0.24102249997667968,1017,
120,0.24285819998476654,1018,
121,0.24594059999799356,1020,
122,0.24788459995761514,1022,
123,0.24977930000750348,1021,
124,0.25169959996128455,1022,
125,0.253804299980402,1021,
126,0.2558329000021331,3,
127,0.2579130999511108,1017,
128,0.2599997000070289,4,
129,0.26275080000050366,4,
130,0.2646483999560587,0,
131,0.26667769998311996,0,
132,0.2684865999617614,0,
133,0.2704006999847479,0,
134,0.2727273000054993,0,
135,0.27515109995147213,1018,
136,0.2775543999741785,1019,
137,0.2800015999819152,1019,
138,0.2818631999543868,1021,
139,0.28416829998604953,1021,
140,0.28607569995801896,1021,
141,0.2876910999766551,1021,
142,0.28946100000757724,507,
143,0.29169220000039786,1018,
144,0.29420179995941,4,
145,0.29587329999776557,4,
146,0.29766029998427257,0,
147,0.2994148999569006,0,
148,0.30123529996490106,0,
149,0.3035367999691516,0,
150,0.3053418999770656,0,
151,0.30802229995606467,1018,
152,0.30991959996754304,1019,
153,0.313418899953831,1019,
154,0.3148967999732122,1022,
155,0.31672289996640757,1022,
156,0.318433299951721,1021,
157,0.3203852999722585,1021,
158,0.322891499963589,1017,
159,0.3245580999646336,1017,
160,0.3265718999900855,4,
161,0.3290073999669403,0,
162,0.33076949999667704,0,
163,0.33247039996786043,0,
164,0.3344679999863729,0,
165,0.3362696999683976,0,
166,0.3383296999963932,0,
167,0.34042759996373206,1018,
168,0.3422570999828167,1019,
169,0.3458616999560036,1019,
170,0.3478662999696098,1021,
171,0.34972539998125285,1021,
172,0.3515200999681838,1022,
173,0.35433169995667413,1022,
174,0.35647870000684634,1,
175,0.35837699996773154,1017,
176,0.3601275999681093,3,
177,0.36244439997244626,5,
178,0.3644967000000179,0,
179,0.3667783999699168,0,
180,0.3691244999645278,0,
181,0.3709660999593325,0,
182,0.37270409998018295,0,
183,0.3746047999593429,1016,
184,0.37637339998036623,1019,
185,0.37798649998148903,1019,
186,0.3802905000047758,1021,
187,0.38205829996149987,1021,
188,0.3838300000061281,1022,
189,0.3857768999878317,1022,
190,0.3875821999972686,1017,
191,0.3897022999590263,1015,
192,0.39147499995306134,4,
193,0.3941698999842629,0,
194,0.3964737000060268,0,
195,0.39839499996742234,0,
196,0.4002049999544397,0,
197,0.4020704999566078,0,
198,0.4042512999731116,0,
199,0.4061486999853514,1018,
200,0.4082584999850951,1017,
201,0.4101563000003807,1019,
202,0.4122432000003755,1021,
203,0.41472699999576434,1022,
204,0.4166356999776326,1022,
205,0.4187376999761909,1021,
206,0.42052679997868836,2,
207,0.4223411999992095,1017,
208,0.42449339997256175,3,
209,0.4261815999634564,0,
210,0.42791919998126104,0,
211,0.42949640000006184,0,
212,0.4314079000032507,0,
213,0.4333984999684617,0,
214,0.43523899995489046,0,
215,0.437687499972526,1018,
216,0.4398911999887787,1018,
217,0.4417309999698773,1020,
218,0.44317769998451695,1022,
219,0.4452293000067584,1022,
220,0.44715089997043833,1021,
221,0.449024899979122,1021,
222,0.4508229999919422,2,
223,0.45262579998234287,1017,
224,0.4547764000017196,4,
225,0.4570092000067234,4,
226,0.45847429998684675,0,
227,0.4597415999742225,0,
228,0.4616088999900967,0,
229,0.46437060000607744,0,
230,0.46590759995160624,0,
231,0.4677406999981031,1018,
232,0.46947670000372455,1018,
233,0.4708871999755502,1019,
234,0.47287909995066,1022,
235,0.47525719995610416,1021,
236,0.4779327999567613,1021,
237,0.47991739999270067,1021,
238,0.4826085999957286,166,
239,0.4843345999834128,1017,
240,0.4859256999916397,4,
241,0.48764000000664964,1,
242,0.48942339996574447,0,
243,0.4911988999811001,0,
244,0.49304239999037236,0,
245,0.4950093999505043,0,
246,0.49649729998782277,0,
247,0.49832899996545166,1018,
248,0.5001895999885164,1019,
249,0.5017449999577366,1019,
250,0.5030138999572955,1022,
251,0.5046874999534339,1022,
252,0.506600399967283,1022,
253,0.5086900999885984,1021,
254,0.5102258999831975,1,
255,0.5121861000079662,1017,
256,0.5149581999867223,4,
257,0.5167601999710314,2,
258,0.5185432999860495,0,
259,0.5202678999630734,0,
260,0.5218480000039563,0,
261,0.5241063999710605,0,
262,0.5257226999965496,0,
263,0.5275664000073448,1018,
264,0.5293454999919049,1021,
265,0.5313720999984071,1019,
266,0.5336232999688946,1021,
267,0.5351969999610446,1021,
268,0.5370590999955311,1021,
269,0.5387148999725468,1021,
270,0.5405804999754764,2,
271,0.5420982000068761,1019,
272,0.5444607999525033,4,
273,0.5460839999723248,3,
274,0.5484462999738753,0,
275,0.5501347999670543,0,
276,0.5521331999916583,0,
277,0.5537436999729834,0,
278,0.5554446000023745,0,
279,0.5573060999740846,1017,
280,0.5589468999532983,1019,
281,0.560756599996239,1020,
282,0.5625967999803834,1022,
283,0.5655161999748088,1021,
284,0.5676649999804795,1022,
285,0.5693051999551244,1022,
286,0.5714410999789834,1018,
287,0.5732417999533936,1017,
288,0.5752818000037223,3,
289,0.5773821999900974,1,
290,0.5790214999578893,0,
291,0.5811672999989241,0,
292,0.5827392999781296,0,
293,0.5843308999901637,0,
294,0.5858852999517694,0,
295,0.5875485999858938,1019,
296,0.5891721000079997,1019,
297,0.5907924000057392,1019,
298,0.5921867999713868,1022,
299,0.5948045999975875,1022,
300,0.5974440999561921,1021,
301,0.5989837999804877,1021,
302,0.6002022000029683,2,
303,0.6014226999832317,1017,
304,0.6032961999881081,4,
305,0.6046410999842919,0,
306,0.6060535999713466,0,
307,0.608126999984961,0,
308,0.6099496999522671,0,
309,0.6122381999739446,0,
310,0.6147337000002153,0,
311,0.6171109999995679,1018,
312,0.6188853000057861,1018,
313,0.6206346999970265,1019,
314,0.6230646999902092,1021,
315,0.6255103999865241,1021,
316,0.6275305000017397,1022,
317,0.6299276999779977,1022,
318,0.6327034999849275,2,
319,0.6346623999997973,1017,
320,0.6362867999705486,4,
321,0.6381246999953873,2,
322,0.640312300005462,0,
323,0.6421391000039876,0,
324,0.6445302999927662,0,
325,0.6475735999993049,0,
326,0.6493640999542549,0,
327,0.6525949999922886,1018,
328,0.6555760999908671,1019,
329,0.657282900006976,1019,
330,0.6592928000027314,1022,
331,0.6611468999763019,1021,
332,0.6638827999704517,1022,
333,0.6657386999577284,1021,
334,0.6676839999854565,2,
335,0.6699871000018902,1017,
336,0.672251999960281,4,
337,0.6740621000062674,4,
338,0.6758994999690913,0,
339,0.6776756999897771,0,
340,0.6809374999720603,0,
341,0.6825567999621853,0,
342,0.6842768999631517,0,
343,0.6859593999688514,1018,
344,0.6876081999507733,1019,
345,0.6898793999571353,1020,
346,0.6913840000052005,1021,
